decision,sku,handle,title,size,previous_status,new_status,tiny_id,tiny_codigo,quantity,quantity_source,reason,local_consult_safe,identity_resolved_safe,observed_at_utc
CLASSIFIED_PARENT_BASE_NON_STOCK_VARIANT,NB-0058078,990v6-made-in-usa-triple-black,Tênis New Balance 990v6 Made in USA 'Triple Black',parent/base,UNRESOLVED_LIVE_FULL,CONSULTABLE_LOCAL_PARENT_BASE_NO_STOCK_VARIANT,,,,none_not_stock_variant,parent/base line is not a sellable size variant; keep searchable internally without stock promise,1,0,2026-06-16T18:02:22.878592Z
CLASSIFIED_PARENT_BASE_NON_STOCK_VARIANT,GX4634,adi2000-triple-black,Tênis ADI2000 Triple Black Preto,parent/base,UNRESOLVED_LIVE_FULL,CONSULTABLE_LOCAL_PARENT_BASE_NO_STOCK_VARIANT,,,,none_not_stock_variant,parent/base line is not a sellable size variant; keep searchable internally without stock promise,1,0,2026-06-16T18:02:22.878592Z
CLASSIFIED_PARENT_BASE_NON_STOCK_VARIANT,GV9544,adidas-adi2000-chalk-white,Tênis adidas ADI2000 Chalk White Branco,parent/base,UNRESOLVED_LIVE_FULL,CONSULTABLE_LOCAL_PARENT_BASE_NO_STOCK_VARIANT,,,,none_not_stock_variant,parent/base line is not a sellable size variant; keep searchable internally without stock promise,1,0,2026-06-16T18:02:22.878592Z
PROMOTED_TINY_UNIQUE_INTERNAL_CONSULT_IDENTITY_BLOCKED,HQ6638,adidas-campus-00s-kids-black-white-gum,Tênis Adidas Campus 00s Black White Gum Preto,40,BLOCKED_SHOPIFY_DUPLICATE_LIVE_FULL,CONSULTABLE_LOCAL_TINY_STOCK_IDENTITY_BLOCKED,1053941512,HQ6638,0.0,Tiny produto.obter.estoque / LK | CONTROLE ESTOQUE,"Tiny exact unique readback succeeded, but Shopify/Tiny identity remains blocked by previous status BLOCKED_SHOPIFY_DUPLICATE_LIVE_FULL",1,0,2026-06-16T18:02:22.878592Z
PROMOTED_TINY_UNIQUE_INTERNAL_CONSULT_IDENTITY_BLOCKED,B75807,adidas-samba-og-black-gum,Tênis Adidas Samba OG Black Gum Preto,40,BLOCKED_SHOPIFY_DUPLICATE_LIVE_FULL,CONSULTABLE_LOCAL_TINY_STOCK_IDENTITY_BLOCKED,1053944609,B75807,0.0,Tiny produto.obter.estoque / LK | CONTROLE ESTOQUE,"Tiny exact unique readback succeeded, but Shopify/Tiny identity remains blocked by previous status BLOCKED_SHOPIFY_DUPLICATE_LIVE_FULL",1,0,2026-06-16T18:02:22.878592Z
PROMOTED_TINY_UNIQUE_INTERNAL_CONSULT_IDENTITY_BLOCKED,B75806,adidas-samba-og-white-black-gum,Tênis adidas Samba OG White Black Gum Branco,41,BLOCKED_SHOPIFY_DUPLICATE_LIVE_FULL,CONSULTABLE_LOCAL_TINY_STOCK_IDENTITY_BLOCKED,941649730,B75806,0.0,Tiny produto.obter.estoque / LK | CONTROLE ESTOQUE,"Tiny exact unique readback succeeded, but Shopify/Tiny identity remains blocked by previous status BLOCKED_SHOPIFY_DUPLICATE_LIVE_FULL",1,0,2026-06-16T18:02:22.878592Z
PROMOTED_TINY_UNIQUE_INTERNAL_CONSULT_IDENTITY_BLOCKED,JR4790-37,adidas-wmns-tokyo-mj-core-black-cream-white-gold-metallic,adidas Wmns Tokyo MJ 'Core Black Cream White Gold Metallic',37,BLOCKED_SHOPIFY_DUPLICATE_LIVE_FULL,CONSULTABLE_LOCAL_TINY_STOCK_IDENTITY_BLOCKED,1069545855,JR4790-37,0.0,Tiny produto.obter.estoque / LK | CONTROLE ESTOQUE,"Tiny exact unique readback succeeded, but Shopify/Tiny identity remains blocked by previous status BLOCKED_SHOPIFY_DUPLICATE_LIVE_FULL",1,0,2026-06-16T18:02:22.878592Z
PROMOTED_TINY_UNIQUE_INTERNAL_CONSULT_IDENTITY_BLOCKED,JR4790-39,adidas-wmns-tokyo-mj-core-black-cream-white-gold-metallic,adidas Wmns Tokyo MJ 'Core Black Cream White Gold Metallic',39,BLOCKED_SHOPIFY_DUPLICATE_LIVE_FULL,CONSULTABLE_LOCAL_TINY_STOCK_IDENTITY_BLOCKED,1069545865,JR4790-39,0.0,Tiny produto.obter.estoque / LK | CONTROLE ESTOQUE,"Tiny exact unique readback succeeded, but Shopify/Tiny identity remains blocked by previous status BLOCKED_SHOPIFY_DUPLICATE_LIVE_FULL",1,0,2026-06-16T18:02:22.878592Z
PROMOTED_TINY_UNIQUE_INTERNAL_CONSULT_IDENTITY_BLOCKED,JR4790-40,adidas-wmns-tokyo-mj-core-black-cream-white-gold-metallic,adidas Wmns Tokyo MJ 'Core Black Cream White Gold Metallic',40,BLOCKED_SHOPIFY_DUPLICATE_LIVE_FULL,CONSULTABLE_LOCAL_TINY_STOCK_IDENTITY_BLOCKED,1069545870,JR4790-40,0.0,Tiny produto.obter.estoque / LK | CONTROLE ESTOQUE,"Tiny exact unique readback succeeded, but Shopify/Tiny identity remains blocked by previous status BLOCKED_SHOPIFY_DUPLICATE_LIVE_FULL",1,0,2026-06-16T18:02:22.878592Z
CLASSIFIED_PARENT_BASE_NON_STOCK_VARIANT,AirJordan1ElevateLowGuavaIce,air-jordan-1-elevate-low-guava-ice,Tênis Nike Air Jordan 1 Elevate Low Guava Ice Rosa,parent/base,UNRESOLVED_LIVE_FULL,CONSULTABLE_LOCAL_PARENT_BASE_NO_STOCK_VARIANT,,,,none_not_stock_variant,parent/base line is not a sellable size variant; keep searchable internally without stock promise,1,0,2026-06-16T18:02:22.878592Z
