package,product_id,offer_id,normalized_sku,merchant_title,shopify_state,tiny_probe_state,tiny_exact_match_count,tiny_id,tiny_official_deposit_seen,tiny_official_deposit_saldo,tiny_deposit_count,recommended_next_action
C_local_identifier_fix,local:pt:BR:LIA_ADI-3400542-34,LIA_ADI-3400542-34,ADI-3400542-34,Tênis Adidas Tokyo Crew White Floral Embroidery Branco,no_shopify_live_exact_sku_no_tiny_local_match_cleanup_candidate_after_pos_validation,tiny_no_exact_code_match_residual_cleanup_candidate_needs_pos_source_validation,0,,False,,0,candidate for residual approval packet only after POS/source validation and rollback snapshot
C_local_identifier_fix,local:pt:BR:LIA_ADI-3400542-35,LIA_ADI-3400542-35,ADI-3400542-35,Tênis Adidas Tokyo Crew White Floral Embroidery Branco,no_shopify_live_exact_sku_no_tiny_local_match_cleanup_candidate_after_pos_validation,tiny_no_exact_code_match_residual_cleanup_candidate_needs_pos_source_validation,0,,False,,0,candidate for residual approval packet only after POS/source validation and rollback snapshot
C_local_identifier_fix,local:pt:BR:LIA_ADI-3400542-36,LIA_ADI-3400542-36,ADI-3400542-36,Tênis Adidas Tokyo Crew White Floral Embroidery Branco,no_shopify_live_exact_sku_no_tiny_local_match_cleanup_candidate_after_pos_validation,tiny_no_exact_code_match_residual_cleanup_candidate_needs_pos_source_validation,0,,False,,0,candidate for residual approval packet only after POS/source validation and rollback snapshot
C_local_identifier_fix,local:pt:BR:LIA_ADI-3400542-37,LIA_ADI-3400542-37,ADI-3400542-37,Tênis Adidas Tokyo Crew White Floral Embroidery Branco,no_shopify_live_exact_sku_no_tiny_local_match_cleanup_candidate_after_pos_validation,tiny_no_exact_code_match_residual_cleanup_candidate_needs_pos_source_validation,0,,False,,0,candidate for residual approval packet only after POS/source validation and rollback snapshot
C_local_identifier_fix,local:pt:BR:LIA_ADI-3400542-38,LIA_ADI-3400542-38,ADI-3400542-38,Tênis Adidas Tokyo Crew White Floral Embroidery Branco,no_shopify_live_exact_sku_no_tiny_local_match_cleanup_candidate_after_pos_validation,tiny_no_exact_code_match_residual_cleanup_candidate_needs_pos_source_validation,0,,False,,0,candidate for residual approval packet only after POS/source validation and rollback snapshot
C_local_identifier_fix,local:pt:BR:LIA_ADI-3400542-39,LIA_ADI-3400542-39,ADI-3400542-39,Tênis Adidas Tokyo Crew White Floral Embroidery Branco,no_shopify_live_exact_sku_no_tiny_local_match_cleanup_candidate_after_pos_validation,tiny_no_exact_code_match_residual_cleanup_candidate_needs_pos_source_validation,0,,False,,0,candidate for residual approval packet only after POS/source validation and rollback snapshot
C_local_identifier_fix,local:pt:BR:LIA_ADI-3400542-40,LIA_ADI-3400542-40,ADI-3400542-40,Tênis Adidas Tokyo Crew White Floral Embroidery Branco,no_shopify_live_exact_sku_no_tiny_local_match_cleanup_candidate_after_pos_validation,tiny_no_exact_code_match_residual_cleanup_candidate_needs_pos_source_validation,0,,False,,0,candidate for residual approval packet only after POS/source validation and rollback snapshot
C_local_identifier_fix,local:pt:BR:LIA_ALD-8631262-OS,LIA_ALD-8631262-OS,ALD-8631262-OS,Boné 5 Panel Aimé Leon Dore Unisphere Azul,no_shopify_live_exact_sku_no_tiny_local_match_cleanup_candidate_after_pos_validation,tiny_no_exact_code_match_residual_cleanup_candidate_needs_pos_source_validation,0,,False,,0,candidate for residual approval packet only after POS/source validation and rollback snapshot
C_local_identifier_fix,local:pt:BR:LIA_ONI-3740254-34,LIA_ONI-3740254-34,ONI-3740254-34,Tênis Onitsuka Tiger Mexico 66 Sabot Birch Peacoat Bege,no_shopify_live_exact_sku_no_tiny_local_match_cleanup_candidate_after_pos_validation,tiny_no_exact_code_match_residual_cleanup_candidate_needs_pos_source_validation,0,,False,,0,candidate for residual approval packet only after POS/source validation and rollback snapshot
C_local_identifier_fix,local:pt:BR:LIA_ONI-3740254-35,LIA_ONI-3740254-35,ONI-3740254-35,Tênis Onitsuka Tiger Mexico 66 Sabot Birch Peacoat Bege,no_shopify_live_exact_sku_no_tiny_local_match_cleanup_candidate_after_pos_validation,tiny_no_exact_code_match_residual_cleanup_candidate_needs_pos_source_validation,0,,False,,0,candidate for residual approval packet only after POS/source validation and rollback snapshot
