offer_id,current_title,brand,problem,proposed_title,target,confidence,link
5706324928133224313,39,New Balance,título quase vazio/só código/tamanho; título parece ser apenas tamanho; não identifica claramente o tipo/modelo,PENDENTE: consultar Shopify/produto por SKU antes de sugerir título sem inventar,sem write; precisa lookup Shopify/GMC por SKU,baixa,https://lksneakers.com.br/products/tenis-new-balance-204l-x-atmos-cow-girl-brown-marrom
6036386056472256840,37,Nike,título quase vazio/só código/tamanho; título parece ser apenas tamanho; não identifica claramente o tipo/modelo,PENDENTE: consultar Shopify/produto por SKU antes de sugerir título sem inventar,sem write; precisa lookup Shopify/GMC por SKU,baixa,https://lksneakers.com.br/products/tenis-nike-shox-tl-black-cave-stone-preto
3048242206072553507,42,ASICS,título quase vazio/só código/tamanho; título parece ser apenas tamanho; não identifica claramente o tipo/modelo,PENDENTE: consultar Shopify/produto por SKU antes de sugerir título sem inventar,sem write; precisa lookup Shopify/GMC por SKU,baixa,https://lksneakers.com.br/products/tenis-asics-gel-1130-white-black-silver-prata
6234067398750979457,34,Nike,título quase vazio/só código/tamanho; título parece ser apenas tamanho; não identifica claramente o tipo/modelo,PENDENTE: consultar Shopify/produto por SKU antes de sugerir título sem inventar,sem write; precisa lookup Shopify/GMC por SKU,baixa,https://lksneakers.com.br/products/tenis-nike-air-force-1-low-protro-kobe-bryant-siempre-hermanos-marrom
11810372920072143991,40,Saint Studio,título quase vazio/só código/tamanho; título parece ser apenas tamanho; não identifica claramente o tipo/modelo,PENDENTE: consultar Shopify/produto por SKU antes de sugerir título sem inventar,sem write; precisa lookup Shopify/GMC por SKU,baixa,https://lksneakers.com.br/collections/roupas/products/calca-saint-studio-wide-alfaiataria-preto
16599698222138562820,34,Jordan,título quase vazio/só código/tamanho; título parece ser apenas tamanho; não identifica claramente o tipo/modelo,PENDENTE: consultar Shopify/produto por SKU antes de sugerir título sem inventar,sem write; precisa lookup Shopify/GMC por SKU,baixa,https://lksneakers.com.br/products/tenis-jordan-4-retro-toro-bravo-2026-vermelho-1
1863698749035586532,44,ASICS,título quase vazio/só código/tamanho; título parece ser apenas tamanho; não identifica claramente o tipo/modelo,PENDENTE: consultar Shopify/produto por SKU antes de sugerir título sem inventar,sem write; precisa lookup Shopify/GMC por SKU,baixa,https://lksneakers.com.br/products/tenis-asics-gel-1130-black-pure-silver-prata
4531110532523186885,39,Air Jordan,título quase vazio/só código/tamanho; título parece ser apenas tamanho; não identifica claramente o tipo/modelo,PENDENTE: consultar Shopify/produto por SKU antes de sugerir título sem inventar,sem write; precisa lookup Shopify/GMC por SKU,baixa,https://lksneakers.com.br/products/tenis-nike-air-jordan-1-low-se-repaired-denim-swoosh-azul
2198938218729451562,37,Nike,título quase vazio/só código/tamanho; título parece ser apenas tamanho; não identifica claramente o tipo/modelo,PENDENTE: consultar Shopify/produto por SKU antes de sugerir título sem inventar,sem write; precisa lookup Shopify/GMC por SKU,baixa,https://lksneakers.com.br/products/tenis-nike-shox-tl-velvet-brown-denim-turquoise-marrom
14252480804615463970,41,Timberland,título quase vazio/só código/tamanho; título parece ser apenas tamanho; não identifica claramente o tipo/modelo,PENDENTE: consultar Shopify/produto por SKU antes de sugerir título sem inventar,sem write; precisa lookup Shopify/GMC por SKU,baixa,https://lksneakers.com.br/products/bota-timberland-6-premium-waterproof-boot-supreme-wheat-bege
15031239196158973196,45,Nike,título quase vazio/só código/tamanho; título parece ser apenas tamanho; não identifica claramente o tipo/modelo,PENDENTE: consultar Shopify/produto por SKU antes de sugerir título sem inventar,sem write; precisa lookup Shopify/GMC por SKU,baixa,https://lksneakers.com.br/products/nike-air-force-1-07-white
4086849490768644696,34,Nike,título quase vazio/só código/tamanho; título parece ser apenas tamanho; não identifica claramente o tipo/modelo,PENDENTE: consultar Shopify/produto por SKU antes de sugerir título sem inventar,sem write; precisa lookup Shopify/GMC por SKU,baixa,https://lksneakers.com.br/products/tenis-nike-mind-002-grey-football-grey-cinza
12475328072847087695,42,Timberland,título quase vazio/só código/tamanho; título parece ser apenas tamanho; não identifica claramente o tipo/modelo,PENDENTE: consultar Shopify/produto por SKU antes de sugerir título sem inventar,sem write; precisa lookup Shopify/GMC por SKU,baixa,https://lksneakers.com.br/products/bota-timberland-6-premium-waterproof-boot-supreme-black-preto
5627606835540697766,M/m,Aimé Leon Dore,título quase vazio/só código/tamanho; não identifica claramente o tipo/modelo,PENDENTE: consultar Shopify/produto por SKU antes de sugerir título sem inventar,sem write; precisa lookup Shopify/GMC por SKU,baixa,https://lksneakers.com.br/products/camiseta-aime-leon-dore-ald-golf-swing-coconut-milk-off-white
2669418431140851356,Natural,Aimé Leon Dore,título quase vazio/só código/tamanho; não identifica claramente o tipo/modelo,PENDENTE: consultar Shopify/produto por SKU antes de sugerir título sem inventar,sem write; precisa lookup Shopify/GMC por SKU,baixa,https://lksneakers.com.br/products/bolsa-aime-leon-dore-porsche-canvas-tote-bag
4467332493483768941,36,Nike,título quase vazio/só código/tamanho; título parece ser apenas tamanho; não identifica claramente o tipo/modelo,PENDENTE: consultar Shopify/produto por SKU antes de sugerir título sem inventar,sem write; precisa lookup Shopify/GMC por SKU,baixa,https://lksneakers.com.br/products/tenis-nike-sb-dunk-low-pro-bluetile-skateboards-azul
16606924615096196772,G/l,Aimé Leon Dore,título quase vazio/só código/tamanho; não identifica claramente o tipo/modelo,PENDENTE: consultar Shopify/produto por SKU antes de sugerir título sem inventar,sem write; precisa lookup Shopify/GMC por SKU,baixa,https://lksneakers.com.br/products/moletom-aime-leon-dore-market-hoodie-pine-groove-verde
15047612723779191692,37,Jordan,título quase vazio/só código/tamanho; título parece ser apenas tamanho; não identifica claramente o tipo/modelo,PENDENTE: consultar Shopify/produto por SKU antes de sugerir título sem inventar,sem write; precisa lookup Shopify/GMC por SKU,baixa,https://lksneakers.com.br/products/tenis-jordan-5-retro-white-metallic-2026-metalizado
8419194273885247483,34,ASICS,título quase vazio/só código/tamanho; título parece ser apenas tamanho; não identifica claramente o tipo/modelo,PENDENTE: consultar Shopify/produto por SKU antes de sugerir título sem inventar,sem write; precisa lookup Shopify/GMC por SKU,baixa,https://lksneakers.com.br/products/tenis-asics-gel-1130-white-black-silver-prata-1
