product_id,execution_status,expected_price_brl,actual_price_brl,actual_sale_price_brl,match_expected,response_id,error
online:pt:BR:01424-002-2,content_api_upserted_price_only,8999.99,5999.90,,False,online:pt:BR:01424-002-2,
online:pt:BR:CU3244100-41,content_api_upserted_price_only,22999.99,14999.99,,False,online:pt:BR:CU3244100-41,
online:pt:BR:CZ2239600-3,content_api_upserted_price_only,6999.90,4699.99,,False,online:pt:BR:CZ2239600-3,
online:pt:BR:DQ4040400-39,content_api_upserted_price_only,2999.99,2999.90,,False,online:pt:BR:DQ4040400-39,
online:pt:BR:HQ6998-211,content_api_upserted_price_only,3499.99,2499.99,,False,online:pt:BR:HQ6998-211,
online:pt:BR:HQ6998-212,content_api_upserted_price_only,3499.99,2499.99,,False,online:pt:BR:HQ6998-212,
online:pt:BR:HQ6998-213,content_api_upserted_price_only,3499.99,2499.99,,False,online:pt:BR:HQ6998-213,
online:pt:BR:HV0823-119,content_api_upserted_price_only,4499.99,3499.99,,False,online:pt:BR:HV0823-119,
online:pt:BR:ID0440-1,content_api_upserted_price_only,1749.99,1449.90,,False,online:pt:BR:ID0440-1,
online:pt:BR:ID0440-3,content_api_upserted_price_only,1749.99,1449.90,,False,online:pt:BR:ID0440-3,
online:pt:BR:IG5932,content_api_upserted_price_only,1799.99,1599.99,,False,online:pt:BR:IG5932,
online:pt:BR:IG5932-4,content_api_upserted_price_only,1799.99,1799.99,,True,online:pt:BR:IG5932-4,
online:pt:BR:IG5932-5,content_api_upserted_price_only,1799.99,1599.99,,False,online:pt:BR:IG5932-5,
online:pt:BR:IG5932-6,content_api_upserted_price_only,1799.99,1599.99,,False,online:pt:BR:IG5932-6,
online:pt:BR:IQ0028-200,content_api_upserted_price_only,3999.99,5999.99,,False,online:pt:BR:IQ0028-200,
online:pt:BR:IQ0028-201,content_api_upserted_price_only,3999.99,5999.99,,False,online:pt:BR:IQ0028-201,
online:pt:BR:IQ0028-202,content_api_upserted_price_only,3999.99,5999.99,,False,online:pt:BR:IQ0028-202,
online:pt:BR:IQ0028-203,content_api_upserted_price_only,3999.99,5999.99,,False,online:pt:BR:IQ0028-203,
online:pt:BR:IQ0028-204,content_api_upserted_price_only,3999.99,5999.99,,False,online:pt:BR:IQ0028-204,
online:pt:BR:IQ0028-205,content_api_upserted_price_only,3999.99,5999.99,,False,online:pt:BR:IQ0028-205,
online:pt:BR:IQ0028-206,content_api_upserted_price_only,3999.99,5999.99,,False,online:pt:BR:IQ0028-206,
online:pt:BR:IQ0028-207,content_api_upserted_price_only,3999.99,5999.99,,False,online:pt:BR:IQ0028-207,
online:pt:BR:IQ0028-208,content_api_upserted_price_only,3999.99,5999.99,,False,online:pt:BR:IQ0028-208,
online:pt:BR:IQ0028-209,content_api_upserted_price_only,3999.99,5999.99,,False,online:pt:BR:IQ0028-209,
online:pt:BR:IQ0028-210,content_api_upserted_price_only,3999.99,5999.99,,False,online:pt:BR:IQ0028-210,
online:pt:BR:IQ0028-211,content_api_upserted_price_only,4499.99,5999.99,,False,online:pt:BR:IQ0028-211,
online:pt:BR:IQ0028-212,content_api_upserted_price_only,4499.99,5999.99,,False,online:pt:BR:IQ0028-212,
online:pt:BR:U9060504,content_api_upserted_price_only,3499.99,2399.99,,False,online:pt:BR:U9060504,
online:pt:BR:U9060505,content_api_upserted_price_only,3499.99,2399.99,,False,online:pt:BR:U9060505,
online:pt:BR:U9060506,content_api_upserted_price_only,3499.99,2399.99,,False,online:pt:BR:U9060506,
online:pt:BR:U9060507,content_api_upserted_price_only,3499.99,2399.99,,False,online:pt:BR:U9060507,
online:pt:BR:U9060CCC-1,content_api_upserted_price_only,2399.99,2799.99,,False,online:pt:BR:U9060CCC-1,
online:pt:BR:U9060CCC-10,content_api_upserted_price_only,2399.99,2799.99,,False,online:pt:BR:U9060CCC-10,
online:pt:BR:U9060CCC-11,content_api_upserted_price_only,2399.99,2799.99,,False,online:pt:BR:U9060CCC-11,
online:pt:BR:U9060CCC-2,content_api_upserted_price_only,2399.99,2799.99,,False,online:pt:BR:U9060CCC-2,
online:pt:BR:U9060CCC-3,content_api_upserted_price_only,2399.99,2799.99,,False,online:pt:BR:U9060CCC-3,
online:pt:BR:U9060CCC-4,content_api_upserted_price_only,2399.99,2799.99,,False,online:pt:BR:U9060CCC-4,
online:pt:BR:U9060CCC-5,content_api_upserted_price_only,2399.99,2799.99,,False,online:pt:BR:U9060CCC-5,
online:pt:BR:U9060CCC-6,content_api_upserted_price_only,2399.99,2799.99,,False,online:pt:BR:U9060CCC-6,
online:pt:BR:U9060CCC-7,content_api_upserted_price_only,2399.99,2799.99,,False,online:pt:BR:U9060CCC-7,
online:pt:BR:U9060CCC-8,content_api_upserted_price_only,2399.99,2799.99,,False,online:pt:BR:U9060CCC-8,
online:pt:BR:U9060CCC-9,content_api_upserted_price_only,2399.99,2799.99,,False,online:pt:BR:U9060CCC-9,
