package,priority,bucket,product_id,channel,offer_id,reconciliation_offer_id,title,proposed_operation,approval_gate,rollback_snapshot_ref,execution_status,evidence,has_destination_problem,item_issue_count
A_online_stale_triage,P0,online_unmatched_possible_stale,online:pt:BR:10002025469927148791,online,10002025469927148791,10002025469927148791,Calça Nude Project Jeans Soft Velvet Azul Marinho,merchant_cleanup_candidate_exact_product_id_after_final_sample_validation,Approval required to delete/suppress exact Merchant online product IDs or change source feed/app.,private_snapshot_records_by_product_id,not_executed_preview_only,merchant_destination_not_approved;merchant_item_level_issues,True,6
A_online_stale_triage,P0,online_unmatched_possible_stale,online:pt:BR:10131134412697596529,online,10131134412697596529,10131134412697596529,38,merchant_cleanup_candidate_exact_product_id_after_final_sample_validation,Approval required to delete/suppress exact Merchant online product IDs or change source feed/app.,private_snapshot_records_by_product_id,not_executed_preview_only,merchant_item_level_issues,False,4
A_online_stale_triage,P0,online_unmatched_possible_stale,online:pt:BR:10310578515087778063,online,10310578515087778063,10310578515087778063,40,merchant_cleanup_candidate_exact_product_id_after_final_sample_validation,Approval required to delete/suppress exact Merchant online product IDs or change source feed/app.,private_snapshot_records_by_product_id,not_executed_preview_only,merchant_item_level_issues,False,3
A_online_stale_triage,P0,online_unmatched_possible_stale,online:pt:BR:10312083433143971915,online,10312083433143971915,10312083433143971915,Bolsa Jacquemus Le Grand Bambino Crossbody Flap Bag Croco Embossed Gradient Blue Azul,merchant_cleanup_candidate_exact_product_id_after_final_sample_validation,Approval required to delete/suppress exact Merchant online product IDs or change source feed/app.,private_snapshot_records_by_product_id,not_executed_preview_only,merchant_item_level_issues,False,2
A_online_stale_triage,P0,online_unmatched_possible_stale,online:pt:BR:10339778285846091232,online,10339778285846091232,10339778285846091232,43,merchant_cleanup_candidate_exact_product_id_after_final_sample_validation,Approval required to delete/suppress exact Merchant online product IDs or change source feed/app.,private_snapshot_records_by_product_id,not_executed_preview_only,merchant_item_level_issues,False,3
A_online_stale_triage,P0,online_unmatched_possible_stale,online:pt:BR:10494354248419479343,online,10494354248419479343,10494354248419479343,40,merchant_cleanup_candidate_exact_product_id_after_final_sample_validation,Approval required to delete/suppress exact Merchant online product IDs or change source feed/app.,private_snapshot_records_by_product_id,not_executed_preview_only,merchant_item_level_issues,False,3
A_online_stale_triage,P0,online_unmatched_possible_stale,online:pt:BR:10588380249806721771,online,10588380249806721771,10588380249806721771,40,merchant_cleanup_candidate_exact_product_id_after_final_sample_validation,Approval required to delete/suppress exact Merchant online product IDs or change source feed/app.,private_snapshot_records_by_product_id,not_executed_preview_only,merchant_item_level_issues,False,3
A_online_stale_triage,P0,online_unmatched_possible_stale,online:pt:BR:10591784840915585992,online,10591784840915585992,10591784840915585992,Boné Saint Studio Art Department Azul - LK,merchant_cleanup_candidate_exact_product_id_after_final_sample_validation,Approval required to delete/suppress exact Merchant online product IDs or change source feed/app.,private_snapshot_records_by_product_id,not_executed_preview_only,merchant_destination_not_approved;merchant_item_level_issues,True,5
A_online_stale_triage,P0,online_unmatched_possible_stale,online:pt:BR:10621083909303937387,online,10621083909303937387,10621083909303937387,Tênis Nike Air Jordan 1 Low Black Brown Marrom,merchant_cleanup_candidate_exact_product_id_after_final_sample_validation,Approval required to delete/suppress exact Merchant online product IDs or change source feed/app.,private_snapshot_records_by_product_id,not_executed_preview_only,merchant_destination_not_approved;merchant_item_level_issues,True,5
A_online_stale_triage,P0,online_unmatched_possible_stale,online:pt:BR:1066317393403197052,online,1066317393403197052,1066317393403197052,37,merchant_cleanup_candidate_exact_product_id_after_final_sample_validation,Approval required to delete/suppress exact Merchant online product IDs or change source feed/app.,private_snapshot_records_by_product_id,not_executed_preview_only,merchant_item_level_issues,False,3
